p2q,latency_s,U_single,U_cut,U_teleport,best_mode
0.01490909090909091,0.0005878016072274912,0.09244712093623017,-0.02406584172973847,-0.1497703017483984,single
0.01490909090909091,0.001,0.04860016170306691,-0.02406584172973847,-0.15103269419438653,single
0.016,1e-06,0.09244712093623017,-0.17121965114330556,-0.07755679919038494,single
0.016,1.7012542798525892e-06,0.09244712093623017,-0.07425722129532958,-0.030657883012776166,single
0.016,2.894266124716752e-06,0.09244712093623017,-0.02406584172973847,-0.05281338938448614,single
0.016,4.923882631706742e-06,-0.11842372893011813,-0.16648703136903387,-0.09215426748859946,teleport
0.016,8.376776400682924e-06,0.09244712093623023,-0.02406584172973847,-0.05913791533382291,single
0.016,1.4251026703029993e-05,-0.05762420093790255,-0.08870873992710018,0.0333968806086381,teleport
0.016,2.424462017082331e-05,0.04860016170306697,-0.13744080391073604,-0.08380307127083707,single
0.016,4.124626382901348e-05,0.04860016170306697,-0.02406584172973847,-0.1099004289555548,single
0.016,7.017038286703837e-05,-0.05762420093790259,0.18023775116650356,-0.11547598181695132,cut
0.016,0.00011937766417144369,0.027570501312607687,-0.07916553133944981,-0.13469844179300552,single
0.016,0.00020309176209047368,-0.11842372893011813,0.08495090795233087,-0.12472963531160575,cut
0.016,0.0003455107294592222,-0.005757704640183686,-0.1603430629329802,-0.14634815914831037,single
0.016,0.0005878016072274912,-0.04999457022269861,0.032337267212053905,-0.14979009253856207,cut
0.016,0.001,-0.0057577046401836585,-0.09981721931846302,-0.15103302711997124,single
